iter	Passed	Remaining
0	3	3486
1	6	3046
2	10	3440
3	13	3424
4	16	3309
5	19	3267
6	22	3173
7	26	3274
8	29	3261
9	32	3201
10	35	3187
11	39	3231
12	44	3411
13	48	3443
14	52	3466
15	57	3505
16	59	3464
17	63	3469
18	67	3491
19	73	3620
20	77	3630
21	81	3623
22	86	3661
23	89	3644
24	94	3681
25	99	3745
26	103	3743
27	107	3715
28	110	3699
29	113	3673
30	117	3663
31	120	3639
32	123	3624
33	127	3634
34	131	3618
35	134	3599
36	137	3574
37	140	3546
38	142	3511
39	145	3495
40	149	3494
41	153	3491
42	156	3492
43	159	3471
44	162	3447
45	166	3444
46	169	3427
47	172	3412
48	177	3437
49	181	3444
50	184	3439
51	187	3425
52	192	3436
53	197	3460
54	201	3467
55	207	3492
56	210	3488
57	213	3474
58	217	3467
59	221	3469
60	225	3465
61	228	3456
62	232	3457
63	237	3468
64	240	3454
65	244	3454
66	247	3446
67	251	3444
68	254	3431
69	257	3417
70	260	3410
71	263	3402
72	267	3391
73	269	3372
74	272	3362
75	275	3353
76	278	3337
77	281	3331
78	284	3321
79	288	3312
80	291	3307
81	294	3294
82	296	3279
83	299	3266
84	302	3254
85	304	3237
86	306	3221
87	310	3215
88	313	3212
89	317	3205
90	319	3193
91	321	3177
92	324	3165
93	327	3156
94	330	3148
95	332	3135
96	335	3127
97	340	3138
98	344	3134
99	347	3124
100	349	3114
101	352	3106
102	355	3094
103	358	3085
104	361	3078
105	364	3070
106	367	3063
107	370	3057
108	373	3051
109	376	3045
110	379	3038
111	382	3029
112	385	3024
113	389	3028
114	393	3024
115	395	3016
116	398	3008
117	401	2997
118	403	2990
119	406	2981
120	409	2972
121	411	2964
122	414	2957
123	418	2957
124	421	2952
125	424	2941
126	426	2934
127	429	2925
128	432	2918
129	434	2910
130	438	2905
131	440	2898
132	443	2893
133	447	2893
134	450	2888
135	453	2879
136	456	2873
137	458	2866
138	461	2858
139	464	2851
140	467	2850
141	471	2848
142	474	2842
143	477	2839
144	480	2832
145	483	2825
146	485	2819
147	488	2811
148	491	2807
149	495	2807
150	499	2809
151	502	2806
152	513	2841
153	600	3300
154	600	3300
155	613	3342
156	767	4148
157	781	4190
158	868	4621
159	881	4655
160	885	4643
161	893	4649
162	901	4658
163	1019	5231
164	1026	5226
165	1122	5674
166	1139	5717
167	1156	5762
168	1163	5755
169	1204	5913
170	1217	5938
171	1223	5924
172	1327	6381
173	1330	6354
174	1351	6409
175	1373	6466
176	1388	6492
177	1402	6511
178	1407	6491
179	1414	6481
180	1419	6460
181	1425	6442
182	1432	6432
183	1436	6403
184	1438	6371
185	1441	6341
186	1445	6318
187	1450	6297
188	1471	6347
189	1476	6328
190	1482	6310
191	1491	6309
192	1497	6295
193	1503	6277
194	1508	6260
195	1513	6242
196	1540	6310
197	1546	6295
198	1555	6292
199	1562	6280
200	1569	6271
201	1576	6260
202	1582	6244
203	1588	6229
204	1595	6216
205	1599	6194
206	1604	6177
207	1610	6163
208	1615	6144
209	1621	6130
210	1629	6120
211	1634	6105
212	1639	6086
213	1645	6072
214	1648	6046
215	1651	6021
216	1656	6003
217	1665	6001
218	1669	5979
219	1674	5963
220	1678	5944
221	1685	5932
222	1694	5931
223	1698	5911
224	1703	5895
225	1707	5874
226	1712	5855
227	1716	5838
228	1723	5829
229	1729	5816
230	1734	5800
231	1739	5784
232	1743	5765
233	1754	5767
234	1757	5746
235	1760	5724
236	1765	5707
237	1769	5689
238	1774	5674
239	1782	5666
240	1788	5657
241	1797	5654
242	1801	5636
243	1806	5621
244	1814	5614
245	1821	5604
246	1826	5590
247	1831	5576
248	1836	5562
249	1849	5571
250	1860	5573
251	1863	5552
252	1866	5531
253	1872	5521
254	1900	5575
255	1907	5564
256	1912	5551
257	1922	5549
258	1927	5536
259	1935	5530
260	1940	5515
261	1945	5500
262	1951	5489
263	1955	5473
264	1959	5456
265	1966	5445
266	1971	5432
267	1975	5416
268	1982	5407
269	1987	5392
270	1990	5375
271	1998	5368
272	2002	5352
273	2007	5338
274	2010	5320
275	2013	5302
276	2017	5285
277	2020	5267
278	2024	5250
279	2027	5233
280	2031	5215
281	2036	5202
282	2039	5186
283	2042	5168
284	2046	5151
285	2048	5133
286	2052	5115
287	2056	5101
288	2059	5085
289	2062	5067
290	2065	5050
291	2068	5033
292	2072	5016
293	2074	4999
294	2077	4981
295	2080	4964
296	2084	4951
297	2087	4934
298	2090	4918
299	2094	4902
300	2097	4886
301	2100	4870
302	2103	4854
303	2106	4839
304	2110	4824
305	2113	4809
306	2116	4793
307	2119	4776
308	2122	4761
309	2125	4745
310	2128	4729
311	2132	4718
312	2137	4707
313	2142	4695
314	2146	4681
315	2150	4669
316	2154	4656
317	2157	4641
318	2163	4632
319	2167	4620
320	2172	4608
321	2175	4595
322	2179	4582
323	2183	4569
324	2187	4556
325	2193	4548
326	2198	4539
327	2202	4525
328	2206	4514
329	2210	4501
330	2214	4488
331	2218	4477
332	2222	4465
333	2226	4452
334	2229	4439
335	2232	4425
336	2238	4416
337	2241	4402
338	2244	4389
339	2249	4379
340	2253	4367
341	2256	4354
342	2259	4340
343	2262	4327
344	2266	4314
345	2270	4303
346	2273	4291
347	2278	4280
348	2282	4269
349	2285	4256
350	2288	4243
351	2291	4230
352	2295	4218
353	2298	4206
354	2301	4194
355	2305	4183
356	2309	4170
357	2311	4157
358	2315	4146
359	2318	4133
360	2321	4119
361	2325	4109
362	2328	4098
363	2332	4087
364	2336	4075
365	2339	4063
366	2342	4050
367	2345	4039
368	2349	4027
369	2351	4014
370	2356	4006
371	2360	3996
372	2364	3985
373	2367	3973
374	2371	3962
375	2375	3952
376	2377	3940
377	2380	3927
378	2385	3918
379	2389	3908
380	2392	3897
381	2395	3885
382	2398	3874
383	2402	3864
384	2405	3852
385	2408	3840
386	2411	3829
387	2415	3819
388	2418	3809
389	2421	3797
390	2424	3786
391	2427	3774
392	2431	3764
393	2434	3753
394	2437	3743
395	2441	3733
396	2445	3723
397	2448	3713
398	2452	3703
399	2455	3692
400	2458	3682
401	2462	3672
402	2466	3662
403	2470	3654
404	2475	3645
405	2479	3636
406	2483	3628
407	2487	3618
408	2494	3612
409	2500	3606
410	2505	3598
411	2510	3591
412	2515	3583
413	2520	3576
414	2529	3573
415	2537	3571
416	2542	3562
417	2546	3554
418	2551	3546
419	2555	3536
420	2561	3531
421	2569	3527
422	2573	3518
423	2577	3509
424	2582	3501
425	2585	3492
426	2590	3484
427	2595	3476
428	2599	3467
429	2602	3457
430	2605	3447
431	2608	3437
432	2612	3428
433	2616	3420
434	2620	3411
435	2623	3401
436	2626	3391
437	2629	3381
438	2631	3371
439	2634	3361
440	2637	3350
441	2640	3341
442	2645	3334
