iter	MultiClass
0	1.088522072
1	1.079186338
2	1.070568306
3	1.061614848
4	1.053801086
5	1.045343684
6	1.037659108
7	1.029274404
8	1.021141642
9	1.012868898
10	1.004744663
11	0.9970506397
12	0.9895561906
13	0.98254811
14	0.9756563456
15	0.968806821
16	0.9617224969
17	0.9549548047
18	0.9484704505
19	0.9420833257
20	0.9359582649
21	0.9296710162
22	0.9237056413
23	0.9175019111
24	0.9116319323
25	0.905251432
26	0.8994839228
27	0.8938520642
28	0.8878176678
29	0.8822133982
30	0.8760987766
31	0.8703886066
32	0.8650690526
33	0.8598661854
34	0.85437507
35	0.8491400377
36	0.8443050993
37	0.838657167
38	0.8335276711
39	0.8287016294
40	0.8237089304
41	0.8187185059
42	0.8141012852
43	0.8091139873
44	0.8040437768
45	0.7988042504
46	0.7936900391
47	0.7891169552
48	0.784600359
49	0.7799453545
50	0.7755827833
51	0.7709604687
52	0.7662875893
53	0.7619525862
54	0.7580142225
55	0.7535833075
56	0.7488631084
57	0.7449115949
58	0.7410677221
59	0.737471034
60	0.7336445574
61	0.7300476217
62	0.7257466488
63	0.7219370962
64	0.7180187665
65	0.7144387751
66	0.7101500472
67	0.7063479871
68	0.7026192213
69	0.698831049
70	0.695250016
71	0.6912468341
72	0.687674807
73	0.6841620497
74	0.6809841341
75	0.6771905475
76	0.6737899653
77	0.6699980088
78	0.666747835
79	0.6633807804
80	0.6601703887
81	0.6571128103
82	0.6540253928
83	0.6507130972
84	0.6476782765
85	0.6444773111
86	0.6412521306
87	0.6381717112
88	0.6345061049
89	0.631211791
90	0.6285138042
91	0.6256882295
92	0.6228172798
93	0.6201413185
94	0.6166811588
95	0.6138838756
96	0.6113932258
97	0.6081441041
98	0.6052215812
99	0.6025013585
100	0.5994622692
101	0.597042093
102	0.5945577363
103	0.5919167829
104	0.5892145171
105	0.5868080429
106	0.5837618753
107	0.580934748
108	0.5787666541
109	0.5764972084
110	0.5740220807
111	0.5715301099
112	0.5693517467
113	0.566423287
114	0.5637903868
115	0.5614340746
116	0.5590344603
117	0.5567418852
118	0.5546812352
119	0.5523555928
120	0.5498750878
121	0.5476585026
122	0.5451859192
123	0.5430730175
124	0.5404373152
125	0.5383503307
126	0.5362496901
127	0.5343729289
128	0.5322224796
129	0.5300460746
130	0.5275799606
131	0.5254222598
132	0.5236815969
133	0.5217785033
134	0.5197015078
135	0.5175872463
136	0.5154505371
137	0.5133288946
138	0.5110562552
139	0.5088191826
140	0.5067371379
141	0.5045629897
142	0.5027838919
143	0.5005681039
144	0.498746261
145	0.4969843415
146	0.4951313605
147	0.4933194931
148	0.491343878
149	0.4891902903
150	0.4877475131
151	0.4861329337
152	0.4845479259
153	0.4826714066
154	0.4808316441
155	0.4792838223
156	0.4773217159
157	0.475566486
158	0.4735578739
159	0.4716117221
160	0.4698829703
161	0.4677942149
162	0.4660929891
163	0.4641071777
164	0.4622548227
165	0.460250491
166	0.458520816
167	0.4564695064
168	0.4545212597
169	0.4527828372
170	0.4512443266
171	0.4493123393
172	0.4473854357
173	0.4453662386
174	0.4435593266
175	0.4420140593
176	0.4405963296
177	0.4391322455
178	0.4376981255
179	0.4363985933
180	0.43476284
181	0.4333963619
182	0.4318555911
183	0.4300819843
184	0.4287467592
185	0.4272604022
186	0.4255650553
187	0.4242015346
188	0.4225813144
189	0.4209142821
190	0.4196789419
191	0.4176888939
192	0.4160820714
193	0.4145414376
194	0.412917207
195	0.4117113623
196	0.4103539289
197	0.408937615
198	0.4072244769
199	0.405806057
200	0.4045247127
201	0.4032616541
202	0.4019259567
203	0.4004155156
204	0.3993027514
205	0.3983462336
206	0.3971138928
207	0.3960168786
208	0.3947020485
209	0.393531236
210	0.3922653005
211	0.3906387446
212	0.3894850053
213	0.387920562
214	0.3866399749
215	0.3852825243
216	0.3841840718
217	0.3828816164
218	0.3818741362
